CodMun,REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP
4310876,4 - Sul,43,RS,Jacuizinho,2666,1 - Até 5000
4310900,4 - Sul,43,RS,Jacutinga,3704,1 - Até 5000
4311007,4 - Sul,43,RS,Jaguarão,28156,4 - 20001 até 50000
4311106,4 - Sul,43,RS,Jaguari,11514,3 - 10001 até 20000
4311122,4 - Sul,43,RS,Jaquirana,4083,1 - Até 5000
4311130,4 - Sul,43,RS,Jari,3645,1 - Até 5000
4311155,4 - Sul,43,RS,Jóia,8679,2 - 5001 até 10000
4311205,4 - Sul,43,RS,Júlio de Castilhos,20012,4 - 20001 até 50000
4311239,4 - Sul,43,RS,Lagoa Bonita do Sul,2852,1 - Até 5000
4311254,4 - Sul,43,RS,Lagoão,6516,2 - 5001 até 10000
4311270,4 - Sul,43,RS,Lagoa dos Três Cantos,1650,1 - Até 5000
4311304,4 - Sul,43,RS,Lagoa Vermelha,28454,4 - 20001 até 50000
4311403,4 - Sul,43,RS,Lajeado,79819,5 - 50001 até 100000
4311429,4 - Sul,43,RS,Lajeado do Bugre,2596,1 - Até 5000
4311502,4 - Sul,43,RS,Lavras do Sul,7807,2 - 5001 até 10000
4311601,4 - Sul,43,RS,Liberato Salzano,5686,2 - 5001 até 10000
4311627,4 - Sul,43,RS,Lindolfo Collor,5765,2 - 5001 até 10000
4311643,4 - Sul,43,RS,Linha Nova,1712,1 - Até 5000
4311700,4 - Sul,43,RS,Machadinho,5640,2 - 5001 até 10000
4311718,4 - Sul,43,RS,Maçambará,4804,1 - Até 5000
4311734,4 - Sul,43,RS,Mampituba,3079,1 - Até 5000
4311759,4 - Sul,43,RS,Manoel Viana,7383,2 - 5001 até 10000
4311775,4 - Sul,43,RS,Maquiné,7016,2 - 5001 até 10000
4311791,4 - Sul,43,RS,Maratá,2677,1 - Até 5000
4311809,4 - Sul,43,RS,Marau,41059,4 - 20001 até 50000
4311908,4 - Sul,43,RS,Marcelino Ramos,4941,1 - Até 5000
4311981,4 - Sul,43,RS,Mariana Pimentel,3932,1 - Até 5000
4312005,4 - Sul,43,RS,Mariano Moro,2190,1 - Até 5000
4312054,4 - Sul,43,RS,Marques de Souza,4159,1 - Até 5000
4312104,4 - Sul,43,RS,Mata,5124,2 - 5001 até 10000
4312138,4 - Sul,43,RS,Mato Castelhano,2574,1 - Até 5000
4312153,4 - Sul,43,RS,Mato Leitão,4276,1 - Até 5000
4312179,4 - Sul,43,RS,Mato Queimado,1780,1 - Até 5000
4312203,4 - Sul,43,RS,Maximiliano de Almeida,4804,1 - Até 5000
4312252,4 - Sul,43,RS,Minas do Leão,8059,2 - 5001 até 10000
4312302,4 - Sul,43,RS,Miraguaí,4975,1 - Até 5000
4312351,4 - Sul,43,RS,Montauri,1545,1 - Até 5000
4312377,4 - Sul,43,RS,Monte Alegre dos Campos,3249,1 - Até 5000
4312385,4 - Sul,43,RS,Monte Belo do Sul,2689,1 - Até 5000
4312401,4 - Sul,43,RS,Montenegro,63868,5 - 50001 até 100000
4312427,4 - Sul,43,RS,Mormaço,2986,1 - Até 5000
4312443,4 - Sul,43,RS,Morrinhos do Sul,3166,1 - Até 5000
4312450,4 - Sul,43,RS,Morro Redondo,6566,2 - 5001 até 10000
4312476,4 - Sul,43,RS,Morro Reuter,6183,2 - 5001 até 10000
4312500,4 - Sul,43,RS,Mostardas,12794,3 - 10001 até 20000
4312609,4 - Sul,43,RS,Muçum,5006,2 - 5001 até 10000
4312617,4 - Sul,43,RS,Muitos Capões,3156,1 - Até 5000
4312625,4 - Sul,43,RS,Muliterno,1903,1 - Até 5000
4312658,4 - Sul,43,RS,Não-Me-Toque,17185,3 - 10001 até 20000
4312674,4 - Sul,43,RS,Nicolau Vergueiro,1752,1 - Até 5000
4312708,4 - Sul,43,RS,Nonoai,12247,3 - 10001 até 20000
4312757,4 - Sul,43,RS,Nova Alvorada,3481,1 - Até 5000
